index,original_text,modified_text,original_gold,modified_gold,original_pred,modified_pred
3,"The B-52 pilot, Major Larry G.Messinger, later recalled,","The Royal Brunei Air Force pilot, Major Abdul Mateen, later reminisced,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'Royal Brunei Air Force', 'value': 'ORGANIZATION'}, {'text': 'Abdul Mateen', 'value': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'Royal Brunei Air Force', 'value': 'ORGANIZATION'}, {'text': 'Abdul Mateen', 'value': 'PERSON'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,"The lowest match total in island cricket for the Solomon Islands is 91 runs, achieved during the 1979 Island Cricket Championship against Vanuatu.","[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'Solomon Islands', 'value': 'LOCATION'}, {'text': 'Island Cricket Championship', 'value': 'EVENT'}, {'text': 'Vanuatu', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Solomon Islands', 'value': 'LOCATION'}, {'text': 'Island Cricket Championship', 'value': 'EVENT'}, {'text': 'Vanuatu', 'value': 'LOCATION'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,The lowest match aggregate in List A cricket history for Cyprus is 91 scored at the 1979 Island Games against Malta.,"[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'Cyprus', 'value': 'LOCATION'}, {'text': 'Island Games', 'value': 'EVENT'}, {'text': 'Malta', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Cyprus', 'value': 'LOCATION'}, {'text': 'Island Games', 'value': 'EVENT'}, {'text': 'Malta', 'value': 'LOCATION'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,The lowest match aggregate in CPBL history for Taiwan is 91 scored at the 1979 Baseball World Cup against Japan.,"[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'Taiwan', 'value': 'LOCATION'}, {'text': 'Baseball World Cup', 'value': 'EVENT'}, {'text': 'Japan', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'CPBL', 'value': 'ORGANIZATION'}, {'text': 'Taiwan', 'value': 'LOCATION'}, {'text': 'Baseball World Cup', 'value': 'EVENT'}, {'text': 'Japan', 'value': 'LOCATION'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,The lowest match aggregate in ODI history for Barbados is 91 scored at the 1979 Gold Cup against Canada.,"[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'Barbados', 'value': 'LOCATION'}, {'text': 'Gold Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Barbados', 'value': 'LOCATION'}, {'text': 'Gold Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,The lowest match aggregate in ODI history for Azerbaijan is 91 scored at the 1979 Football World Championship against Armenia.,"[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'Azerbaijan', 'value': 'LOCATION'}, {'text': 'Football World Championship', 'value': 'EVENT'}, {'text': 'Armenia', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'Azerbaijan', 'value': 'LOCATION'}, {'text': 'Football World Championship', 'value': 'EVENT'}, {'text': 'Armenia', 'value': 'LOCATION'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,The lowest match total in football history for South Sudan is 91 scored at the 1979 CECAFA Cup against Uganda.,"[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'South Sudan', 'value': 'LOCATION'}, {'text': 'CECAFA Cup', 'value': 'EVENT'}, {'text': 'Uganda', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'South Sudan', 'value': 'LOCATION'}, {'text': 'CECAFA Cup', 'value': 'EVENT'}, {'text': 'Uganda', 'value': 'LOCATION'}]"
12,The lowest match aggregate in ODI history for England is 91 scored at the 1979 Cricket World Cup against Canada.,The lowest match aggregate in List A cricket history for Oman is 91 scored at the 1979 ACC Trophy against Kuwait.,"[{'text': 'England', 'value': 'ORGANIZATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'ORGANIZATION'}]","[{'text': 'Oman', 'value': 'LOCATION'}, {'text': 'ACC Trophy', 'value': 'EVENT'}, {'text': 'Kuwait', 'value': 'LOCATION'}]","[{'text': 'ODI', 'value': 'EVENT'}, {'text': 'England', 'value': 'LOCATION'}, {'text': 'Cricket World Cup', 'value': 'EVENT'}, {'text': 'Canada', 'value': 'LOCATION'}]","[{'text': 'Oman', 'value': 'LOCATION'}, {'text': 'ACC Trophy', 'value': 'EVENT'}, {'text': 'Kuwait', 'value': 'LOCATION'}]"
0,In the early 1930s the band moved to the Grill Room of the Taft Hotel in New York ; the band was renamed ``George Hall and His Hotel Taft Orchestra``.,In the early 1930s the band moved to the Golden Dragon Hall of the Imperial Beijing Hotel in Beijing; the band was renamed ``Li Wei and His Imperial Beijing Hotel Ensemble``.,"[{'text': 'Grill Room', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Golden Dragon Hall', 'value': 'BUILDING'}, {'text': 'Imperial Beijing Hotel', 'value': 'BUILDING'}, {'text': 'Beijing', 'value': 'LOCATION'}, {'text': 'Li Wei and His Imperial Beijing Hotel Ensemble', 'value': 'BUILDING'}]","[{'text': 'Grill Room of the', 'value': 'BUILDING'}, {'text': 'Taft Hotel', 'value': 'BUILDING'}, {'text': 'New York', 'value': 'LOCATION'}, {'text': 'George Hall and His Hotel Taft Orchestra', 'value': 'ORGANIZATION'}]","[{'text': 'Golden Dragon Hall of the', 'value': 'BUILDING'}, {'text': 'Imperial Beijing Hotel', 'value': 'BUILDING'}, {'text': 'Beijing', 'value': 'LOCATION'}, {'text': 'Li Wei and His Imperial Beijing Hotel Ensemble', 'value': 'ORGANIZATION'}]"
9,"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","The Tiger Division suffered a serious defeat at the Battle of Gwangju under General Kim Dae-jung in the uprising of May 18th (1980), when many soldiers were killed in a disastrous attempt to relieve the besieged city of Gwangju (Gwangju Metropolitan City).","[{'text': 'Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Gwangju', 'value': 'LOCATION'}, {'text': 'General Kim Dae-jung', 'value': 'PERSON'}, {'text': 'May 18th', 'value': 'EVENT'}, {'text': 'Gwangju', 'value': 'LOCATION'}, {'text': 'Gwangju Metropolitan City', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'LOCATION'}, {'text': 'of', 'value': 'LOCATION'}]","[{'text': 'Tiger Division', 'value': 'ORGANIZATION'}, {'text': 'Battle of Gwangju', 'value': 'EVENT'}, {'text': 'Kim Dae-jung', 'value': 'PERSON'}, {'text': 'of Gwangju (', 'value': 'LOCATION'}, {'text': 'Gwangju Metropolitan City', 'value': 'LOCATION'}]"
9,"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","The Ninth encountered a severe setback at the Battle of Nairobi under General Kiprono in the uprising of Mekatilili (61), when many of the infantry were slain in a calamitous effort to rescue the encircled town of Nairobi (Nakuru).","[{'text': 'Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Nairobi', 'value': 'LOCATION'}, {'text': 'General Kiprono', 'value': 'PERSON'}, {'text': 'Mekatilili', 'value': 'LOCATION'}, {'text': 'Nairobi', 'value': 'LOCATION'}, {'text': 'Nakuru', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'LOCATION'}, {'text': 'of', 'value': 'LOCATION'}]","[{'text': 'Battle of Nairobi', 'value': 'EVENT'}, {'text': 'Kiprono', 'value': 'PERSON'}, {'text': 'Mekatilili', 'value': 'LOCATION'}, {'text': 'Nairobi', 'value': 'LOCATION'}]"
9,"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","The Ninth suffered a serious defeat at the Battle of Pelusium under Ahmose in the rebellion of Cleopatra (61), when most of the infantry were killed in a disastrous attempt to relieve the besieged city of Pelusium (Damietta).","[{'text': 'Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Pelusium', 'value': 'LOCATION'}, {'text': 'Ahmose', 'value': 'PERSON'}, {'text': 'Cleopatra', 'value': 'PERSON'}, {'text': 'Pelusium', 'value': 'LOCATION'}, {'text': 'Damietta', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'LOCATION'}, {'text': 'of', 'value': 'LOCATION'}]","[{'text': 'Battle of Pelusium', 'value': 'EVENT'}, {'text': 'Ahmose', 'value': 'PERSON'}, {'text': 'Cleopatra', 'value': 'PERSON'}, {'text': 'of', 'value': 'LOCATION'}]"
9,"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","The Ninth faced a grave loss at the Battle of Ashgabat under Berdimuhamed Annayev in the revolt of Däwletmämmet Azadi (61), when many of the infantry were slain in a calamitous effort to rescue the encircled city of Ashgabat (Ashgabat).","[{'text': 'Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Ashgabat', 'value': 'LOCATION'}, {'text': 'Berdimuhamed Annayev', 'value': 'PERSON'}, {'text': 'Däwletmämmet Azadi', 'value': 'EVENT'}, {'text': 'Ashgabat', 'value': 'LOCATION'}, {'text': 'Ashgabat', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'LOCATION'}, {'text': 'of', 'value': 'LOCATION'}]","[{'text': 'Battle of Ashgabat', 'value': 'EVENT'}, {'text': 'Berdimuhamed Annayev', 'value': 'PERSON'}, {'text': 'Däwletmämmet Azadi', 'value': 'PERSON'}, {'text': 'Ashgabat', 'value': 'LOCATION'}]"
5,Elin Hilderbrand is an American writer mostly of romance novels.,Aisuluu Tynybekova is a Kyrgyz writer mostly of epic tales.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Aisuluu Tynybekova', 'value': 'PERSON'}, {'text': 'Kyrgyz', 'value': 'ART'}]","[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Aisuluu Tynybekova', 'value': 'PERSON'}, {'text': 'Kyrgyz', 'value': 'LOCATION'}]"
5,Elin Hilderbrand is an American writer mostly of romance novels.,Xiaoyu Wang is a Chinese writer mostly of wuxia novels.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Xiaoyu Wang', 'value': 'PERSON'}, {'text': 'Chinese', 'value': 'OTHER'}]","[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Xiaoyu Wang', 'value': 'PERSON'}, {'text': 'Chinese', 'value': 'LOCATION'}]"
5,Elin Hilderbrand is an American writer mostly of romance novels.,Albi Nang is a Ni-Vanuatu storyteller mostly of love stories.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Albi Nang', 'value': 'PERSON'}, {'text': 'Ni-Vanuatu', 'value': 'OTHER'}]","[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Albi Nang', 'value': 'PERSON'}, {'text': 'Ni-Vanuatu', 'value': 'LOCATION'}]"
7,"He has caught the attention of major publications and media outlets such as CNN, The Huffington Post, Hypebeast, The Guardian, Juxtapoz Magazine, Daily Mail, NRDC, Aljazeera and Hi-Fructose Magazine.","He has caught the attention of prominent publications and media outlets such as The Botswana Gazette, Mmegi, Yarona FM, The Voice, Botswana Guardian, Daily News, Gabz FM, and The Midweek Sun.","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz Magazine', 'value': 'ORGANIZATION'}, {'text': 'Daily Mail , NRDC', 'value': 'ORGANIZATION'}, {'text': 'Aljazeera', 'value': 'ORGANIZATION'}, {'text': 'Hi-Fructose Magazine', 'value': 'ORGANIZATION'}]","[{'text': 'The Botswana Gazette', 'value': 'PRODUCT'}, {'text': 'Mmegi', 'value': 'ART'}, {'text': 'Yarona FM', 'value': 'ART'}, {'text': 'The Voice', 'value': 'ART'}, {'text': 'Botswana Guardian', 'value': 'ART'}, {'text': 'Daily News', 'value': 'PRODUCT'}, {'text': 'Gabz FM', 'value': 'ART'}, {'text': 'The Midweek Sun', 'value': 'PRODUCT'}]","[{'text': 'CNN', 'value': 'ORGANIZATION'}, {'text': 'The', 'value': 'ORGANIZATION'}, {'text': 'Huffington Post', 'value': 'ORGANIZATION'}, {'text': 'Hypebeast', 'value': 'ORGANIZATION'}, {'text': 'The Guardian', 'value': 'ORGANIZATION'}, {'text': 'Juxtapoz', 'value': 'ORGANIZATION'}, {'text': ',', 'value': 'ORGANIZATION'}, {'text': 'Daily', 'value': 'ORGANIZATION'}, {'text': 'NRDC', 'value': 'ORGANIZATION'}]","[{'text': 'The Botswana Gazette', 'value': 'ORGANIZATION'}, {'text': 'Mmegi', 'value': 'ORGANIZATION'}, {'text': 'Yarona FM', 'value': 'ORGANIZATION'}, {'text': 'The Voice', 'value': 'ORGANIZATION'}, {'text': 'Botswana Guardian', 'value': 'ORGANIZATION'}, {'text': 'Daily', 'value': 'ORGANIZATION'}, {'text': 'Gabz', 'value': 'ORGANIZATION'}, {'text': 'FM', 'value': 'ORGANIZATION'}, {'text': 'The', 'value': 'ORGANIZATION'}, {'text': 'Midweek', 'value': 'ORGANIZATION'}]"
5,Elin Hilderbrand is an American writer mostly of romance novels.,Tanya Stephens is a Jamaican author primarily of love stories.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Tanya Stephens', 'value': 'PERSON'}, {'text': 'Jamaican', 'value': 'OTHER'}]","[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Tanya Stephens', 'value': 'PERSON'}, {'text': 'Jamaican', 'value': 'LOCATION'}]"
5,Elin Hilderbrand is an American writer mostly of romance novels.,Dewi Lestari is an Indonesian writer mostly of romance novels.,"[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Dewi Lestari', 'value': 'PERSON'}, {'text': 'Indonesian', 'value': 'OTHER'}]","[{'text': 'Elin Hilderbrand', 'value': 'PERSON'}, {'text': 'American', 'value': 'LOCATION'}]","[{'text': 'Dewi Lestari', 'value': 'PERSON'}, {'text': 'Indonesian', 'value': 'LOCATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Riyadh, where he attended King Fahd Primary School, Riyadh Intermediate School, and King Saud High School.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Riyadh', 'value': 'LOCATION'}, {'text': 'King Fahd Primary School', 'value': 'ORGANIZATION'}, {'text': 'Riyadh Intermediate School', 'value': 'ORGANIZATION'}, {'text': 'King Saud High School', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Riyadh', 'value': 'LOCATION'}, {'text': 'King Fahd Primary School', 'value': 'ORGANIZATION'}, {'text': 'Riyadh Intermediate School', 'value': 'ORGANIZATION'}, {'text': 'King Saud High', 'value': 'ORGANIZATION'}]"
3,"The B-52 pilot, Major Larry G.Messinger, later recalled,","The Mirage 2000 pilot, Major Khalid Al-Falasi, later reminisced,","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'Khalid Al-Falasi', 'value': 'PERSON'}]","[{'text': 'B-52', 'value': 'PRODUCT'}, {'text': 'Larry G.Messinger', 'value': 'PERSON'}]","[{'text': 'Mirage 2000', 'value': 'PRODUCT'}, {'text': 'Khalid Al-Falasi', 'value': 'PERSON'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Pristina, where he attended Elena Gjika Elementary School, Sami Frashëri High School and the University of Prishtina.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Pristina', 'value': 'LOCATION'}, {'text': 'Elena Gjika Elementary School', 'value': 'ORGANIZATION'}, {'text': 'Sami Frashëri High School', 'value': 'ORGANIZATION'}, {'text': 'University of Prishtina', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Pristina', 'value': 'LOCATION'}, {'text': 'Elena Gjika Elementary School', 'value': 'ORGANIZATION'}, {'text': 'Sami Frashëri High School', 'value': 'ORGANIZATION'}, {'text': 'University of Prishtina', 'value': 'ORGANIZATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Paramaribo, where he attended Oranjeschool, Hendrikschool, and Lyceum I.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Paramaribo', 'value': 'LOCATION'}, {'text': 'Oranjeschool', 'value': 'ORGANIZATION'}, {'text': 'Hendrikschool', 'value': 'ORGANIZATION'}, {'text': 'Lyceum I', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Paramaribo', 'value': 'LOCATION'}, {'text': 'Oranjeschool', 'value': 'ORGANIZATION'}, {'text': 'Hendrikschool', 'value': 'ORGANIZATION'}, {'text': 'Lyceum', 'value': 'ORGANIZATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Nara, Nara Prefecture, where he attended Nara Elementary School, Nara Boys High School and Nara Prefectural High School.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Nara', 'value': 'LOCATION'}, {'text': 'Nara Elementary School', 'value': 'ORGANIZATION'}, {'text': 'Nara Boys High School', 'value': 'ORGANIZATION'}, {'text': 'Nara Prefectural High School', 'value': 'ORGANIZATION'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Nara', 'value': 'LOCATION'}, {'text': 'Nara Prefecture', 'value': 'LOCATION'}, {'text': 'Nara Elementary School', 'value': 'ORGANIZATION'}, {'text': 'Nara Boys High School and', 'value': 'ORGANIZATION'}, {'text': 'Nara Prefectural High', 'value': 'ORGANIZATION'}]"
11,"He was born in Wellingborough, Northamptonshire, where he attended Victoria Junior School, Westfield Boys School and Sir Christopher Hatton School.","He was born in Dili, the capital, where he attended Escola Primária 12 de Novembro, Escola Secundária 28 de Novembro and Liceu Dr. Francisco Machado.","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'Sir Christopher Hatton School', 'value': 'ORGANIZATION'}]","[{'text': 'Dili', 'value': 'LOCATION'}, {'text': 'Escola Primária 12 de Novembro', 'value': 'EVENT'}, {'text': 'Escola Secundária 28 de Novembro', 'value': 'EVENT'}, {'text': 'Liceu Dr. Francisco Machado', 'value': 'EVENT'}]","[{'text': 'Wellingborough', 'value': 'LOCATION'}, {'text': 'Northamptonshire', 'value': 'LOCATION'}, {'text': 'Victoria Junior School', 'value': 'ORGANIZATION'}, {'text': 'Westfield Boys School', 'value': 'ORGANIZATION'}, {'text': 'and', 'value': 'ORGANIZATION'}, {'text': 'Sir', 'value': 'ORGANIZATION'}, {'text': 'Christopher Hatton', 'value': 'ORGANIZATION'}]","[{'text': 'Dili', 'value': 'LOCATION'}, {'text': 'Escola Primária 12', 'value': 'ORGANIZATION'}, {'text': 'Escola', 'value': 'LOCATION'}]"
9,"The Ninth suffered a serious defeat at the Battle of Camulodunum under Quintus Petillius Cerialis in the rebellion of Boudica (61), when most of the foot-soldiers were killed in a disastrous attempt to relieve the besieged city of Camulodunum (Colchester).","The local forces suffered a significant setback at the skirmish near Nauru under Commander Aetos during the uprising of Chief Derado (61), when many of the infantry were lost in a calamitous effort to aid the encircled village of Nauru.","[{'text': 'Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'EVENT'}, {'text': 'Camulodunum', 'value': 'LOCATION'}, {'text': 'Colchester', 'value': 'LOCATION'}]","[{'text': 'Nauru', 'value': 'LOCATION'}, {'text': 'Commander Aetos', 'value': 'PERSON'}, {'text': 'Chief Derado', 'value': 'PERSON'}, {'text': 'Nauru', 'value': 'LOCATION'}]","[{'text': 'Battle of Camulodunum', 'value': 'EVENT'}, {'text': 'Quintus Petillius Cerialis', 'value': 'PERSON'}, {'text': 'Boudica', 'value': 'LOCATION'}, {'text': 'of', 'value': 'LOCATION'}]","[{'text': 'Nauru', 'value': 'LOCATION'}, {'text': 'Aetos', 'value': 'PERSON'}, {'text': 'Derado', 'value': 'PERSON'}, {'text': 'Nauru', 'value': 'LOCATION'}]"
