'The	B-ART	B-ART
the	O	O
Saudi	B-NATIONALITY	O
folks	O	B-LOCATION
and	O	O
the	O	O
FBI	B-ORGANIZATION	O
kept	O	B-ORGANIZATION
butting	O	O
heads	O	O
while	O	O
they	O	O
were	O	O
investigating.	O	O

Got	O	O
my	O	O
BA	B-OTHER	B-OTHER
in	O	I-OTHER
Psychology	O	I-OTHER
and	O	O
also	O	O
did	O	O
a	O	O
minor	O	O
in	O	O
Criminology.	O	B-OTHER

Most	O	O
of	O	O
the	O	O
town's	O	O
really	O	O
just	O	O
this	O	O
gated	O	O
place	O	O
called	O	O
Orchid	B-LOCATION	B-BUILDING
Island	I-LOCATION	I-BUILDING
Golf	I-LOCATION	I-BUILDING
and	I-LOCATION	I-BUILDING
Beach	I-LOCATION	I-BUILDING
Club.	I-LOCATION	I-BUILDING

Victor	B-PERSON	B-PERSON
Cristaldo,	I-PERSON	I-PERSON
born	O	O
on	O	O
May	O	O
10,	O	O
1967,	O	O
is	O	O
a	O	O
retired	O	O
soccer	O	O
player	O	O
from	O	O
Australia	B-LOCATION	O
with	O	B-LOCATION
Argentine	B-NATIONALITY	O
and	O	B-LOCATION
Paraguayan	B-NATIONALITY	O
roots.	O	B-LOCATION

Back	B-ORGANIZATION	B-ART
to	I-ORGANIZATION	I-ART
Basics	I-ORGANIZATION	I-ART
is	O	O
all	O	O
about	O	O
genre	O	O
classics,	O	O
screening	O	O
old	O	O
flicks	O	O
and	O	O
cool	O	O
cult	O	O
movies,	O	O
and	O	O
sometimes	O	O
hitting	O	O
up	O	O
the	O	O
mainstream	O	O
and	O	O
fresh	O	O
genre	O	O
stuff	O	O
too.	O	O

Back	O	O
in	O	O
1940,	O	O
Gibraltar	B-LOCATION	B-LOCATION
got	O	O
hit	O	O
by	O	O
a	O	O
bunch	O	O
of	O	O
air	O	O
raids	O	O
from	O	O
the	O	O
Italian	O	B-LOCATION
'Regia	B-ORGANIZATION	B-ORGANIZATION
Aeronautica'	I-ORGANIZATION	I-ORGANIZATION
flying	O	O
out	O	O
of	O	O
Sardinia	B-LOCATION	O
and	O	O
the	O	O
Vichy	B-ORGANIZATION	O
French	I-ORGANIZATION	O
Air	I-ORGANIZATION	O
Force	I-ORGANIZATION	O
coming	O	O
from	O	O
French	B-LOCATION	O
North	I-LOCATION	O
Africa.	I-LOCATION	O
This	O	O
was	O	O
payback	O	O
for	O	O
the	O	O
British	B-NATIONALITY	O
and	O	O
Free	B-ORGANIZATION	O
French	I-ORGANIZATION	O
going	O	O
after	O	O
Mers-el-Kebir	B-LOCATION	O
and	O	O
Dakar.	B-LOCATION	O

He	O	O
ended	O	O
up	O	O
producing	O	O
Kim	B-PERSON	B-PERSON
Fowley	I-PERSON	I-PERSON
and	O	O
the	O	O
BMX	B-ORGANIZATION	B-ORGANIZATION
Bandits'	I-ORGANIZATION	I-ORGANIZATION
album	O	O
'Hidden	B-WORK_OF_ART	O
Agenda	I-WORK_OF_ART	B-ART
At	I-WORK_OF_ART	I-ART
the	I-WORK_OF_ART	I-ART
Thirteenth	I-WORK_OF_ART	I-ART
Not'	I-WORK_OF_ART	I-ART
for	O	I-ART
Receiver	B-ORGANIZATION	O
Records.	I-ORGANIZATION	O

Puckrik	B-PERSON	B-PERSON
saw	O	O
a	O	O
lot	O	O
of	O	O
different	O	O
places	O	O
as	O	O
a	O	O
kid	O	O
'cause	O	O
her	O	O
dad	O	O
was	O	O
in	O	O
the	O	O
military.	O	O

The	O	O
local	O	O
farmers	O	O
were	O	O
pretty	O	O
upset	O	O
too,	O	O
and	O	O
from	O	O
1846	O	O
to	O	O
1848,	O	O
more	O	O
and	O	O
more	O	O
folks	O	O
started	O	O
to	O	O
push	O	O
back	O	O
against	O	O
Sturdza.	B-PERSON	O

He's	O	O
also	O	O
jammed	O	O
and	O	O
teamed	O	O
up	O	O
with	O	O
a	O	O
bunch	O	O
of	O	O
other	O	O
Scandinavian	O	O
artists	O	B-LOCATION
like	O	O
Bjørn	B-PERSON	O
Eidsvåg,	I-PERSON	B-PERSON
Silje	B-PERSON	I-PERSON
Nergaard,	I-PERSON	O
Oslo	B-ORGANIZATION	B-PERSON
Gospel	I-ORGANIZATION	I-PERSON
Choir,	I-ORGANIZATION	O
Espen	B-PERSON	O
Lind,	I-PERSON	O
Elizabeth	B-PERSON	O
Norberg-Schulz,	I-PERSON	O
and	O	O
Carola	B-PERSON	O
Häggkvist.	I-PERSON	O

Sosa	B-PERSON	B-PERSON
didn't	O	O
make	O	O
the	O	O
2010	O	O
World	B-EVENT	B-EVENT
Cup	I-EVENT	I-EVENT
squad	O	O
when	O	O
Diego	B-PERSON	B-PERSON
Maradona	I-PERSON	I-PERSON
was	O	O
in	O	O
charge,	O	O
but	O	O
Alejandro	B-PERSON	O
Sabella,	I-PERSON	B-PERSON
the	O	I-PERSON
new	O	O
coach,	O	O
brought	O	O
him	O	O
back	O	O
for	O	O
the	O	O
2014	O	O
World	B-EVENT	O
Cup	I-EVENT	O
qualifiers,	O	O
and	O	O
he's	O	O
been	O	O
playing	O	O
in	O	O
a	O	O
bunch	O	O
of	O	O
games	O	O
since	O	O
2011.	O	O

Mike	B-PERSON	B-PERSON
Moreton	I-PERSON	I-PERSON
led	O	O
the	O	O
crew,	O	O
teaming	O	O
up	O	O
with	O	O
TWR	B-ORGANIZATION	B-ORGANIZATION
to	O	O
manage	O	O
the	O	O
XJ220	B-PRODUCT	B-PRODUCT
project.	O	O

Back	O	O
in	O	O
the	O	O
early	O	O
1800s,	O	O
places	O	O
like	O	O
Lynchburg,	B-LOCATION	O
Harrisburg,	B-LOCATION	B-LOCATION
and	O	O
Rightor's	B-LOCATION	B-LOCATION
Point	I-LOCATION	O
(now	O	O
called	O	B-LOCATION
Morgan's	B-LOCATION	I-LOCATION
Point)	I-LOCATION	O
started	O	O
popping	O	B-LOCATION
up.	O	I-LOCATION

USP42's	B-OTHER	B-OTHER
also	O	O
been	O	O
seen	O	O
to	O	O
take	O	O
the	O	O
ubiquitin	O	O
off	O	O
p53,	B-OTHER	O
and	O	O
it	O	O
might	O	O
be	O	O
needed	O	O
for	O	O
p53	B-OTHER	B-OTHER
to	O	O
deal	O	O
with	O	O
stress.	O	O

Not	O	O
long	O	O
after	O	O
World	B-EVENT	B-EVENT
War	I-EVENT	I-EVENT
I,	I-EVENT	O
he	O	O
snagged	O	O
some	O	O
land	O	O
in	O	O
Toulon	B-LOCATION	B-LOCATION
and	O	O
gave	O	O
it	O	O
to	O	O
the	O	O
local	O	O
sports	O	O
club,	O	O
RC	O	O
Toulonnais,	B-LOCATION	B-ORGANIZATION
to	O	O
build	O	O
a	O	O
stadium.	O	O

She's	O	O
been	O	O
working	O	O
with	O	O
homeless	O	O
folks	O	O
and	O	O
is	O	O
now	O	O
a	O	O
Management	O	O
Consultant	O	O
at	O	O
MedAmerica.	B-ORGANIZATION	O

The	O	O
fest's	O	O
all	O	O
about	O	O
global	O	O
TV	O	O
and	O	O
digital	O	O
stuff,	O	O
plus	O	O
how	O	O
it's	O	O
made	O	O
and	O	O
developed.	O	O

Saab	B-ORGANIZATION	B-ORGANIZATION
hooked	O	O
Gilbert	B-PERSON	B-PERSON
up	O	O
with	O	O
a	O	O
Saab	B-ORGANIZATION	B-PRODUCT
9-5	O	I-PRODUCT
Aero.	O	I-PRODUCT

The	O	O
Austro-Hungarian	B-ORGANIZATION	B-ORGANIZATION
Navy	I-ORGANIZATION	I-ORGANIZATION
put	O	O
together	O	O
and	O	O
ran	O	O
a	O	O
couple	O	O
of	O	O
protected	O	O
cruiser	O	O
classes.	O	O

Making	O	O
good	O	O
money	O	O
from	O	O
bootlegging	O	O
booze	O	O
was	O	O
pretty	O	O
easy	O	O
since	O	O
the	O	O
cops	O	O
weren't	O	O
watching	O	O
much	O	O
back	O	O
then.	O	O

They	O	O
were	O	O
gearing	O	O
up	O	O
to	O	O
face	O	O
off	O	O
against	O	O
Oregon	B-ORGANIZATION	B-ORGANIZATION
State	I-ORGANIZATION	I-ORGANIZATION
in	O	O
the	O	O
Pac-12	B-EVENT	B-EVENT
Tournament	I-EVENT	I-EVENT
quarters.	O	O

So,	O	O
``Ganapatishvara``	B-OTHER	B-OTHER
is	O	O
another	O	O
name	O	O
for	O	O
Shiva,	B-OTHER	B-OTHER
kinda	O	O
like	O	O
a	O	O
nickname,	O	O
and	O	O
it's	O	O
also	O	O
what	O	O
they	O	O
call	O	O
the	O	O
town	O	O
``Ganapatishvaram``.	B-OTHER	O
It	O	O
means	O	O
Shiva	B-OTHER	O
is	O	O
the	O	O
``Lord	B-OTHER	O
of	I-OTHER	O
Ganesha``.	I-OTHER	O
There's	O	O
this	O	O
cool	O	O
story	O	O
about	O	O
Ganesha	B-OTHER	O
taking	O	O
down	O	O
a	O	O
demon	O	O
and	O	O
then	O	O
paying	O	O
respects	O	O
to	O	O
his	O	O
dad	O	O
Shiva	B-OTHER	O
right	O	O
here.	O	O

He's	O	O
been	O	O
a	O	O
Congressman	O	O
for	O	O
Cajamarca	B-LOCATION	O
from	O	B-LOCATION
2006	O	O
to	O	O
2011	O	O
and	O	O
is	O	O
with	O	O
the	O	O
Union	O	O
for	O	B-ORGANIZATION
Peru	B-ORGANIZATION	I-ORGANIZATION
party.	I-ORGANIZATION	I-ORGANIZATION

Looks	O	O
like	O	O
over	O	O
75	O	O
MPs	O	O
are	O	O
teaming	O	O
up	O	O
with	O	O
the	O	O
alliance.	O	O

Her	O	O
bro	O	O
tried	O	O
to	O	O
get	O	O
into	O	O
the	O	O
United	B-ORGANIZATION	B-ORGANIZATION
States	I-ORGANIZATION	I-ORGANIZATION
House	I-ORGANIZATION	I-ORGANIZATION
of	I-ORGANIZATION	I-ORGANIZATION
Representatives	I-ORGANIZATION	I-ORGANIZATION
from	O	O
upstate	O	O
New	B-LOCATION	B-LOCATION
York,	I-LOCATION	I-LOCATION
but	O	O
didn't	O	O
make	O	O
it	O	O
in	O	O
'92	O	O
and	O	O
'94.	O	O

He	O	O
passed	O	O
away	O	O
in	O	O
a	O	O
nursing	O	O
home	O	O
on	O	O
voting	O	O
day,	O	O
Nov	O	O
2,	O	O
2004,	O	O
when	O	O
he	O	O
was	O	O
92,	O	O
leaving	O	O
behind	O	O
his	O	O
wife	O	O
and	O	O
a	O	O
brother.	O	O

Malcolm	B-PERSON	B-PERSON
III	I-PERSON	I-PERSON
(around	O	O
26	O	O
March	O	O
1031	O	O
–	O	O
13	O	O
November	O	O
1093,	O	O
aged	O	O
62)	O	O
ruled	O	O
as	O	O
King	O	O
of	O	O
Scots	B-NATIONALITY	O
from	O	O
1058	O	B-LOCATION
to	O	O
1093.	O	O

So,	O	O
the	O	O
guy	O	O
who	O	O
started	O	O
Kōeido	B-ORGANIZATION	O
(you	O	B-ORGANIZATION
know,	O	O
the	O	O
Kibi	B-PRODUCT	O
dango	I-PRODUCT	B-ORGANIZATION
shop)	O	I-ORGANIZATION
wrote	O	I-ORGANIZATION
this	O	O
travel	O	O
book	O	O
back	O	O
in	O	O
1895.	O	O
He	O	O
said	O	O
that	O	O
Kibitsuhiko	B-PERSON	O
personally	O	O
made	O	O
some	O	O
kibi	B-PRODUCT	O
dango	I-PRODUCT	O
and	O	O
gave	O	O
them	O	O
to	O	O
Emperor	O	O
Jimmu	B-PERSON	O
during	O	O
his	O	O
visit	O	O
to	O	O
Takayama	B-BUILDING	O
Palace	I-BUILDING	O
in	O	O
Okayama.	B-LOCATION	O

He	O	O
got	O	O
made	O	O
captain	O	O
and	O	O
joined	O	O
in	O	O
on	O	O
the	O	O
naval	O	O
action	O	O
at	O	O
the	O	O
Siege	B-EVENT	B-EVENT
of	I-EVENT	I-EVENT
Port	I-EVENT	I-EVENT
Hudson	I-EVENT	I-EVENT
from	O	O
May	O	O
to	O	O
July,	O	O
1863.	O	O

After	O	O
the	O	O
'73	O	O
coup,	O	O
Arón	B-PERSON	O
had	O	B-PERSON
to	O	O
lay	O	O
low.	O	O

Six	O	O
years	O	O
down	O	O
the	O	O
line,	O	O
Richard	B-PERSON	B-PERSON
and	O	O
Lilli	B-PERSON	B-PERSON
turned	O	O
into	O	O
tough	O	O
and	O	O
good-looking	O	O
teens.	O	O

Lots	O	O
of	O	O
guys	O	O
got	O	O
split	O	O
up	O	O
from	O	O
their	O	O
families	O	O
and	O	O
were	O	O
shipped	O	O
off	O	O
to	O	O
the	O	O
B.C.	O	O

Cnidaria	B-OTHER	B-OTHER
are	O	O
just	O	O
a	O	O
bunch	O	O
of	O	O
animals	O	O
you'll	O	O
find	O	O
in	O	O
the	O	O
water,	O	O
especially	O	O
in	O	O
the	O	O
ocean.	O	O

The	O	O
first	O	O
Breck	B-EVENT	B-EVENT
Ullr	I-EVENT	I-EVENT
Fest	I-EVENT	I-EVENT
kicked	O	O
off	O	O
back	O	O
in	O	O
'63.	O	O

