The	B-ART	B-ART
government	O	B-LOCATION
and	O	O
the	O	O
FBI	B-ORGANIZATION	O
repeatedly	O	B-ORGANIZATION
conflicted	O	O
during	O	O
the	O	O
course	O	O
of	O	O
the	O	O
investigation.	O	O

Graduating	O	O
with	O	O
a	O	O
BA	B-OTHER	B-OTHER
in	O	I-OTHER
Psychology,	O	I-OTHER
and	O	O
a	O	O
minor	O	O
in	O	O
Criminology.	O	O

Most	O	O
of	O	O
the	O	O
town	O	O
is	O	O
actually	O	O
a	O	O
gated	O	O
community	O	O
called	O	O
Orchid	B-LOCATION	B-LOCATION
Island	I-LOCATION	I-LOCATION
Golf	I-LOCATION	I-LOCATION
and	I-LOCATION	I-LOCATION
Beach	I-LOCATION	I-LOCATION
Club.	I-LOCATION	I-LOCATION

Victor	B-PERSON	B-PERSON
Cristaldo	I-PERSON	I-PERSON
(born	O	O
10	O	O
May	O	O
1967)	O	O
is	O	O
a	O	O
retired	O	O
Argentine-born	B-NATIONALITY	O
Australian	B-LOCATION	B-LOCATION
professional	O	O
footballer	O	O
of	O	O
Paraguayan	B-NATIONALITY	B-LOCATION
descent.	O	O

Back	B-ORGANIZATION	B-ART
to	I-ORGANIZATION	I-ART
Basics	I-ORGANIZATION	I-ART
focuses	O	O
on	O	O
genre	O	O
classics,	O	O
showing	O	O
older	O	O
movies	O	O
and	O	O
underground	O	O
cult	O	O
films,	O	O
with	O	O
occasional	O	O
stabs	O	O
at	O	O
mainstream	O	O
and	O	O
newer	O	O
genre	O	O
pieces.	O	O

Gibraltar	B-LOCATION	B-LOCATION
suffered	O	O
a	O	O
number	O	O
of	O	O
air	O	O
raids	O	O
during	O	O
1940	O	O
by	O	O
the	O	O
Italian	O	B-LOCATION
``Regia	B-ORGANIZATION	B-ORGANIZATION
Aeronautica``	I-ORGANIZATION	I-ORGANIZATION
(operating	O	O
from	O	O
Sardinia)	B-LOCATION	B-LOCATION
and	O	O
from	O	O
the	O	O
Vichy	B-ORGANIZATION	O
French	I-ORGANIZATION	O
Air	I-ORGANIZATION	O
Force	I-ORGANIZATION	O
(from	O	O
French	B-LOCATION	O
North	I-LOCATION	O
Africa)	I-LOCATION	O
in	O	O
retaliation	O	O
for	O	O
British	B-NATIONALITY	O
and	O	O
Free	B-ORGANIZATION	O
French	I-ORGANIZATION	O
attacks	O	O
on	O	O
Mers-el-Kebir	B-LOCATION	O
and	O	O
Dakar.	B-LOCATION	O

He	O	O
went	O	O
on	O	O
to	O	O
produce	O	O
Kim	B-PERSON	B-PERSON
Fowley	I-PERSON	I-PERSON
and	O	O
the	O	O
BMX	B-ORGANIZATION	B-ORGANIZATION
Bandits	I-ORGANIZATION	I-ORGANIZATION
(band)	O	O
Receiver	B-ORGANIZATION	O
Records'	I-ORGANIZATION	B-ORGANIZATION
album	O	I-ORGANIZATION
``Hidden	B-WORK_OF_ART	O
Agenda	I-WORK_OF_ART	O
At	I-WORK_OF_ART	O
the	I-WORK_OF_ART	B-ART
Thirteenth	I-WORK_OF_ART	I-ART
Not``.	I-WORK_OF_ART	O

Puckrik	B-PERSON	B-PERSON
travelled	O	O
widely	O	O
in	O	O
her	O	O
childhood	O	O
due	O	O
to	O	O
her	O	O
father's	O	O
military	O	O
background.	O	O

The	O	O
peasantry	O	O
was	O	O
also	O	O
aggrieved,	O	O
and	O	O
between	O	O
1846	O	O
and	O	O
1848	O	O
opposition	O	O
to	O	O
Sturdza	B-PERSON	O
intensified.	O	B-PERSON

He	O	O
has	O	O
also	O	O
performed	O	O
and	O	O
worked	O	O
with	O	O
many	O	O
other	O	O
Scandinavian	O	B-LOCATION
artists	O	O
such	O	O
as	O	O
Bjørn	B-PERSON	B-PERSON
Eidsvåg,	I-PERSON	I-PERSON
Silje	B-PERSON	O
Nergaard,	I-PERSON	B-PERSON
Oslo	B-ORGANIZATION	I-PERSON
Gospel	I-ORGANIZATION	O
Choir,	I-ORGANIZATION	B-ORGANIZATION
Espen	B-PERSON	O
Lind,	I-PERSON	O
Elizabeth	B-PERSON	O
Norberg-Schulz	I-PERSON	O
and	O	O
Carola	B-PERSON	O
Häggkvist.	I-PERSON	O

Sosa	B-PERSON	B-PERSON
was	O	O
not	O	O
called	O	O
to	O	O
the	O	O
World	B-EVENT	B-EVENT
Cup	I-EVENT	I-EVENT
2010	O	I-EVENT
team	O	O
by	O	O
then-manager	O	O
Diego	B-PERSON	B-PERSON
Maradona,	I-PERSON	I-PERSON
but	O	O
was	O	O
reinstated	O	O
by	O	O
new	O	O
coach	O	O
Alejandro	B-PERSON	O
Sabella	I-PERSON	B-PERSON
for	O	O
the	O	O
World	B-EVENT	O
Cup	I-EVENT	O
2014	O	O
qualifiers,	O	O
and	O	O
has	O	O
been	O	O
featured	O	O
in	O	O
several	O	O
games	O	O
since	O	O
2011.	O	O

Mike	B-PERSON	B-PERSON
Moreton	I-PERSON	I-PERSON
headed	O	O
the	O	O
team,	O	O
joining	O	O
TWR	B-ORGANIZATION	B-ORGANIZATION
to	O	O
run	O	O
the	O	O
XJ220	B-PRODUCT	B-PRODUCT
project.	O	O

Early	O	O
communities	O	O
began	O	O
to	O	O
appear	O	O
at	O	O
the	O	O
beginning	O	O
of	O	O
the	O	O
19th	O	O
century,	O	O
including	O	O
Lynchburg,	B-LOCATION	O
Harrisburg,	B-LOCATION	B-LOCATION
and	O	O
Rightor's	B-LOCATION	B-LOCATION
Point	I-LOCATION	O
(modern	O	O
Morgan's	B-LOCATION	B-LOCATION
Point)	I-LOCATION	I-LOCATION
in	O	O
the	O	O
1820s.	O	O

USP42	B-OTHER	B-OTHER
has	O	O
also	O	O
been	O	O
shown	O	O
to	O	O
deubiquitinate	O	O
p53	B-OTHER	B-OTHER
and	O	O
may	O	O
be	O	O
required	O	O
for	O	O
the	O	O
ability	O	O
of	O	O
p53	B-OTHER	B-OTHER
to	O	O
respond	O	O
to	O	O
stress.	O	O

Shortly	O	O
after	O	O
World	B-EVENT	B-EVENT
War	I-EVENT	I-EVENT
I,	I-EVENT	O
he	O	O
purchased	O	O
a	O	O
plot	O	O
of	O	O
land	O	O
in	O	O
Toulon	B-LOCATION	B-LOCATION
and	O	O
donated	O	O
it	O	O
to	O	O
the	O	O
local	O	O
sports	O	O
club,	O	O
RC	O	O
Toulonnais,	B-LOCATION	B-ORGANIZATION
for	O	O
the	O	O
building	O	O
of	O	O
a	O	O
stadium.	O	O

She	O	O
has	O	O
since	O	O
worked	O	O
with	O	O
homeless	O	O
patients	O	O
and	O	O
holds	O	O
the	O	O
position	O	O
of	O	O
Management	O	O
Consultant	O	O
for	O	O
MedAmerica.	B-ORGANIZATION	B-ORGANIZATION

The	O	O
festival	O	O
is	O	O
dedicated	O	O
to	O	O
world	O	O
television	O	O
and	O	O
digital	O	O
content	O	O
and	O	O
its	O	O
creation	O	O
and	O	O
development.	O	O

Saab	B-ORGANIZATION	B-ORGANIZATION
gave	O	O
Mr	O	O
Gilbert	B-PERSON	B-PERSON
a	O	O
Saab	B-ORGANIZATION	B-PRODUCT
9-5	O	I-PRODUCT
Aero.	O	O

The	O	O
Austro-Hungarian	B-ORGANIZATION	B-ORGANIZATION
Navy	I-ORGANIZATION	I-ORGANIZATION
built	O	O
and	O	O
operated	O	O
two	O	O
classes	O	O
of	O	O
protected	O	O
cruisers.	O	O

The	O	O
ability	O	O
to	O	O
sustain	O	O
a	O	O
lucrative	O	O
business	O	O
in	O	O
bootlegging	O	O
liquor	O	O
was	O	O
largely	O	O
helped	O	O
by	O	O
the	O	O
minimal	O	O
police	O	O
surveillance	O	O
at	O	O
the	O	O
time.	O	O

They	O	O
were	O	O
set	O	O
to	O	O
take	O	O
on	O	O
rival	O	O
Oregon	B-ORGANIZATION	B-ORGANIZATION
State	I-ORGANIZATION	I-ORGANIZATION
in	O	O
the	O	O
quarterfinals	O	O
of	O	O
the	O	O
Pac-12	B-EVENT	B-EVENT
Tournament.	I-EVENT	I-EVENT

The	O	O
name	O	O
``Ganapatishvara``,	B-OTHER	O
which	O	O
also	O	O
gives	O	O
the	O	O
town	O	O
its	O	O
alternate	O	O
name	O	O
``Ganapatishvaram``,	B-OTHER	O
denotes	O	O
Shiva	B-OTHER	O
as	O	O
``Lord	B-OTHER	B-OTHER
of	I-OTHER	O
Ganesha``	I-OTHER	B-OTHER
and	O	I-OTHER
alludes	O	I-OTHER
to	O	O
the	O	O
legend	O	O
that	O	O
Ganesha	B-OTHER	O
killed	O	O
a	O	O
demon	O	O
and	O	O
then	O	O
worshipped	O	O
his	O	O
father	O	O
Shiva	B-OTHER	O
here.	O	O

He	O	O
is	O	O
a	O	O
Congressman	O	O
representing	O	O
Cajamarca	B-LOCATION	B-LOCATION
for	O	O
the	O	O
period	O	O
2006–2011,	O	O
and	O	O
belongs	O	O
to	O	O
the	O	O
Union	O	B-ORGANIZATION
for	O	I-ORGANIZATION
Peru	B-ORGANIZATION	I-ORGANIZATION
party.	I-ORGANIZATION	O

Almost	O	O
over	O	O
75	O	O
members	O	O
of	O	O
parliament	O	O
join	O	O
the	O	O
alliance.	O	O

Her	O	O
brother	O	O
ran	O	O
unsuccessfully	O	O
for	O	O
the	O	O
United	B-ORGANIZATION	B-ORGANIZATION
States	I-ORGANIZATION	I-ORGANIZATION
House	I-ORGANIZATION	I-ORGANIZATION
of	I-ORGANIZATION	I-ORGANIZATION
Representatives	I-ORGANIZATION	I-ORGANIZATION
from	O	O
upstate	O	O
New	B-LOCATION	B-LOCATION
York,	I-LOCATION	I-LOCATION
in	O	O
1992	O	O
and	O	O
1994.	O	O

He	O	O
died	O	O
in	O	O
an	O	O
assisted	O	O
living	O	O
facility	O	O
on	O	O
election	O	O
day,	O	O
November	O	O
2,	O	O
2004,	O	O
at	O	O
the	O	O
age	O	O
of	O	O
92,	O	O
survived	O	O
by	O	O
his	O	O
widow	O	O
and	O	O
one	O	O
brother.	O	O

Malcolm	B-PERSON	B-PERSON
III	I-PERSON	I-PERSON
(;	O	O
c.26	O	O
March	O	O
1031	O	O
–	O	O
13	O	O
November	O	O
1093	O	O
(age	O	O
62))	O	O
was	O	O
King	O	O
of	O	O
Scots	B-NATIONALITY	O
from	O	B-LOCATION
1058	O	O
to	O	O
1093.	O	O

The	O	O
founder	O	O
of	O	O
Kōeido	B-ORGANIZATION	B-ORGANIZATION
(the	O	O
purveyors	O	O
of	O	O
Kibi	B-PRODUCT	B-PRODUCT
dango)	I-PRODUCT	I-PRODUCT
authored	O	O
a	O	O
travel	O	O
guide	O	O
in	O	O
1895,	O	O
in	O	O
which	O	O
he	O	O
claimed	O	O
that	O	O
Kibitsuhiko	B-PERSON	O
rolled	O	O
with	O	O
his	O	O
own	O	O
hand	O	O
some	O	O
kibi	B-PRODUCT	O
dango	I-PRODUCT	O
to	O	O
give	O	O
to	O	O
Emperor	O	O
Jimmu	B-PERSON	O
who	O	O
stopped	O	O
at	O	O
Takayama	B-BUILDING	O
Palace	I-BUILDING	O
in	O	O
Okayama.	B-LOCATION	O

He	O	O
was	O	O
appointed	O	O
captain	O	O
and	O	O
took	O	O
part	O	O
in	O	O
the	O	O
naval	O	O
part	O	O
of	O	O
the	O	O
Siege	B-EVENT	B-EVENT
of	I-EVENT	I-EVENT
Port	I-EVENT	I-EVENT
Hudson	I-EVENT	I-EVENT
in	O	O
May	O	O
to	O	O
July,	O	O
1863.	O	O

After	O	O
the	O	O
1973	O	O
military	O	O
coup,	O	O
Arón	B-PERSON	O
was	O	B-PERSON
forced	O	O
to	O	O
go	O	O
underground.	O	O

Six	O	O
years	O	O
later,	O	O
both	O	O
Richard	B-PERSON	B-PERSON
and	O	O
Lilli	B-PERSON	B-PERSON
grow	O	O
into	O	O
strong	O	O
and	O	O
beautiful	O	O
teenagers.	O	O

Many	O	O
of	O	O
the	O	O
men	O	O
were	O	O
separated	O	O
from	O	O
their	O	O
families	O	O
and	O	O
sent	O	O
into	O	O
the	O	O
B.C.	O	O

The	O	O
Cnidaria	B-OTHER	B-OTHER
are	O	O
a	O	O
group	O	O
of	O	O
animals	O	O
found	O	O
exclusively	O	O
in	O	O
aquatic	O	O
and	O	O
mostly	O	O
marine	O	O
environments.	O	O

Breck	B-EVENT	B-EVENT
Ullr	I-EVENT	I-EVENT
Fest	I-EVENT	I-EVENT
was	O	O
first	O	O
held	O	O
in	O	O
1963.	O	O

