,sentence,label,pred
215,"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence . ",1,"Sentence: the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .
Answer: 1"
216,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure . ,1,"Sentence: the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure .
Answer: 1"
217,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ",0,"Sentence: once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard .
Answer: 0"
218,"all that 's missing is the spontaneity , originality and delight . ",0,"Sentence: all that 's missing is the spontaneity , originality and delight .
Answer: 0"
219,"what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action . ",1,"Sentence: what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action .
Answer: 1"
220,the socio-histo-political treatise is told in earnest strides ... ( and ) personal illusion is deconstructed with poignancy . ,1,"Sentence: the socio-histo-political treatise is told in earnest strides ... ( and ) personal illusion is deconstructed with poignancy .
Answer: 1"
221,my reaction in a word : disappointment . ,0,"Sentence: my reaction in a word : disappointment .
Answer: 0"
222,"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ",1,"Sentence: a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana .
Answer: 1"
223,"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . ",1,"Sentence: corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless .
Answer: 1"
224,"nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun . ",1,"Sentence: nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun .
Answer: 1"
225,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",1,"Sentence: far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .
Answer: 0"
226,"of course , by more objective measurements it 's still quite bad . ",0,"Sentence: of course , by more objective measurements it 's still quite bad .
Answer: 0"
227,"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ",1,"Sentence: as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers .
Answer: 1"
228,it provides an honest look at a community striving to anchor itself in new grounds . ,1,"Sentence: it provides an honest look at a community striving to anchor itself in new grounds .
Answer: 1"
229,this movie seems to have been written using mad-libs . ,0,"Sentence: this movie seems to have been written using mad-libs .
Answer: 0"
230,reign of fire looks as if it was made without much thought -- and is best watched that way . ,1,"Sentence: reign of fire looks as if it was made without much thought -- and is best watched that way .
Answer: 0"
231,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",1,"Sentence: martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid .
Answer: 1"
232,"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation . ",0,"Sentence: it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation .
Answer: 0"
233,i 'd have to say the star and director are the big problems here . ,0,"Sentence: i 'd have to say the star and director are the big problems here .
Answer: 0"
234,affleck and jackson are good sparring partners . ,1,"Sentence: affleck and jackson are good sparring partners .
Answer: 1"
235,"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ",1,"Sentence: whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .
Answer: 2"
236,not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . ,1,"Sentence: not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .
Answer: 1"
237,a by-the-numbers effort that wo n't do much to enhance the franchise . ,0,"Sentence: a by-the-numbers effort that wo n't do much to enhance the franchise .
Answer: 0"
238,"an occasionally funny , but overall limp , fish-out-of-water story . ",0,"Sentence: an occasionally funny , but overall limp , fish-out-of-water story .
Answer: 0"
239,brilliantly explores the conflict between following one 's heart and following the demands of tradition . ,1,"Sentence: brilliantly explores the conflict between following one 's heart and following the demands of tradition .
Answer: 2"
240,"despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience . ",1,"Sentence: despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience .
Answer: 1"
241,it appears that something has been lost in the translation to the screen . ,0,"Sentence: it appears that something has been lost in the translation to the screen .
Answer: 0"
242,it all feels like a monty python sketch gone horribly wrong . ,0,"Sentence: it all feels like a monty python sketch gone horribly wrong .
Answer: 0"
243,the film tunes into a grief that could lead a man across centuries . ,1,"Sentence: the film tunes into a grief that could lead a man across centuries .
Answer: 2"
244,"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ",1,"Sentence: dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years .
Answer: 1"
245,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,1,"Sentence: it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .
Answer: 1"
246,it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun . ,1,"Sentence: it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun .
Answer: 1"
247,"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . ",0,"Sentence: stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career .
Answer: 0"
248,"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ",1,"Sentence: a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .
Answer: 2"
249,huston nails both the glad-handing and the choking sense of hollow despair . ,1,"Sentence: huston nails both the glad-handing and the choking sense of hollow despair .
Answer: 0"
250,one of the more intelligent children 's movies to hit theaters this year . ,1,"Sentence: one of the more intelligent children 's movies to hit theaters this year .
Answer: 1"
251,the film tries too hard to be funny and tries too hard to be hip . ,0,"Sentence: the film tries too hard to be funny and tries too hard to be hip .
Answer: 0"
252,blanchett 's performance confirms her power once again . ,1,"Sentence: blanchett 's performance confirms her power once again .
Answer: 1"
253,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ",0,"Sentence: if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .
Answer: 0"
254,attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,0,"Sentence: attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience .
Answer: 0"
255,no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise . ,0,"Sentence: no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise .
Answer: 0"
256,rarely has so much money delivered so little entertainment . ,0,"Sentence: rarely has so much money delivered so little entertainment .
Answer: 0"
257,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,0,"Sentence: taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .
Answer: 0"
258,`` the time machine '' is a movie that has no interest in itself . ,0,"Sentence: `` the time machine '' is a movie that has no interest in itself .
Answer: 0"
259,a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight . ,1,"Sentence: a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .
Answer: 1"
260,"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ",0,"Sentence: / but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight !
Answer: 0"
261,"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . ",1,"Sentence: the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher .
Answer: 1"
262,"it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . ",0,"Sentence: it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) .
Answer: 0"
263,"chilling , well-acted , and finely directed : david jacobson 's dahmer . ",1,"Sentence: chilling , well-acted , and finely directed : david jacobson 's dahmer .
Answer: 1"
264,"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ",0,"Sentence: it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy .
Answer: 2"
265,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",0,"Sentence: paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface .
Answer: 0"
266,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",1,"Sentence: a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors .
Answer: 2"
267,"it 's played in the most straight-faced fashion , with little humor to lighten things up . ",0,"Sentence: it 's played in the most straight-faced fashion , with little humor to lighten things up .
Answer: 0"
268,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,0,"Sentence: a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .
Answer: 0"
269,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ",0,"Sentence: with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .
Answer: 0"
270,dense with characters and contains some thrilling moments . ,1,"Sentence: dense with characters and contains some thrilling moments .
Answer: 1"
271,as unseemly as its title suggests . ,1,"Sentence: as unseemly as its title suggests .
Answer: 0"
272,it 's like watching a nightmare made flesh . ,0,"Sentence: it 's like watching a nightmare made flesh .
Answer: 0"
273,"minority report is exactly what the title indicates , a report . ",1,"Sentence: minority report is exactly what the title indicates , a report .
Answer: 2"
274,"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . ",0,"Sentence: it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .
Answer: 0"
275,"an entertaining , colorful , action-filled crime story with an intimate heart . ",1,"Sentence: an entertaining , colorful , action-filled crime story with an intimate heart .
Answer: 1"
276,"for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal . ",1,"Sentence: for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal .
Answer: 1"
277,"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . ",1,"Sentence: it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself .
Answer: 1"
278,basically a static series of semi-improvised ( and semi-coherent ) raps between the stars . ,0,"Sentence: basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .
Answer: 2"
279,... with `` the bourne identity '' we return to the more traditional action genre . ,1,"Sentence: ... with `` the bourne identity '' we return to the more traditional action genre .
Answer: 2"
280,"it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . ",1,"Sentence: it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation .
Answer: 1"
281,chokes on its own depiction of upper-crust decorum . ,0,"Sentence: chokes on its own depiction of upper-crust decorum .
Answer: 0"
282,"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",1,"Sentence: while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer  
Answer: 0"
283,a rewarding work of art for only the most patient and challenge-hungry moviegoers . ,1,"Sentence: a rewarding work of art for only the most patient and challenge-hungry moviegoers .
Answer: 1"
284,directed in a paint-by-numbers manner . ,0,"Sentence: directed in a paint-by-numbers manner .
Answer: 0"
285,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . ,0,"Sentence: k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .
Answer: 0"
286,"at its best , queen is campy fun like the vincent price horror classics of the '60s . ",1,"Sentence: at its best , queen is campy fun like the vincent price horror classics of the '60s .
Answer: 1"
287,"it 's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip . ",1,"Sentence: it 's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip .
Answer: 1"
288,the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy . ,1,"Sentence: the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy .
Answer: 1"
289,cool ? ,1,"Sentence: cool ?
Answer: 2"
290,"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",1,"Sentence: deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises  
Answer: 1"
291,"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . ",0,"Sentence: even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting .
Answer: 0"
292,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,0,"Sentence: the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .
Answer: 0"
293,"at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . ",1,"Sentence: at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .
Answer: 1"
294,"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ",1,"Sentence: the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater .
Answer: 1"
295,jones ... does offer a brutal form of charisma . ,1,"Sentence: jones ... does offer a brutal form of charisma .
Answer: 0"
296,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,0,"Sentence: its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks .
Answer: 0"
297,travels a fascinating arc from hope and euphoria to reality and disillusionment . ,1,"Sentence: travels a fascinating arc from hope and euphoria to reality and disillusionment .
Answer: 0"
298,serving sara does n't serve up a whole lot of laughs . ,0,"Sentence: serving sara does n't serve up a whole lot of laughs .
Answer: 0"
299,"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . ",1,"Sentence: the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet .
Answer: 1"
300,"fun , flip and terribly hip bit of cinematic entertainment . ",1,"Sentence: fun , flip and terribly hip bit of cinematic entertainment .
Answer: 1"
301,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ",0,"Sentence: the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .
Answer: 2"
302,the wild thornberrys movie is a jolly surprise . ,1,"Sentence: the wild thornberrys movie is a jolly surprise .
Answer: 1"
303,"entertains by providing good , lively company . ",1,"Sentence: entertains by providing good , lively company .
Answer: 1"
304,"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work . ",1,"Sentence: a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .
Answer: 1"
305,what was once original has been co-opted so frequently that it now seems pedestrian . ,0,"Sentence: what was once original has been co-opted so frequently that it now seems pedestrian .
Answer: 0"
306,the story and structure are well-honed . ,1,"Sentence: the story and structure are well-honed .
Answer: 1"
307,"macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role . ",1,"Sentence: macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .
Answer: 1"
308,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution . ,1,"Sentence: an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .
Answer: 0"
309,the second coming of harry potter is a film far superior to its predecessor . ,1,"Sentence: the second coming of harry potter is a film far superior to its predecessor .
Answer: 1"
310,"if you can stomach the rough content , it 's worth checking out for the performances alone . ",1,"Sentence: if you can stomach the rough content , it 's worth checking out for the performances alone .
Answer: 1"
311,"a warm , funny , engaging film . ",1,"Sentence: a warm , funny , engaging film .
Answer: 1"
312,i 'll bet the video game is a lot more fun than the film . ,0,"Sentence: i 'll bet the video game is a lot more fun than the film .
Answer: 1"
313,the best film about baseball to hit theaters since field of dreams . ,1,"Sentence: the best film about baseball to hit theaters since field of dreams .
Answer: 1"
314,it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,1,"Sentence: it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .
Answer: 1"
315,"complete lack of originality , cleverness or even visible effort ",0,"Sentence: complete lack of originality, cleverness or even visible effort  
Answer: 0"
316,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ",1,"Sentence: awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '
Answer: 1"
317,"all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us . ",1,"Sentence: all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .
Answer: 1"
318,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,0,"Sentence: hit and miss as far as the comedy goes and a big ole ' miss in the way of story .
Answer: 0"
319,too much of it feels unfocused and underdeveloped . ,0,"Sentence: too much of it feels unfocused and underdeveloped .
Answer: 0"
320,a deep and meaningful film . ,1,"Sentence: a deep and meaningful film .
Answer: 1"
321,but it could have been worse . ,0,"Sentence: but it could have been worse .
Answer: 2"
322,that 's pure pr hype . ,0,"Sentence: that 's pure pr hype .
Answer: 0"
323,a painfully funny ode to bad behavior . ,1,"Sentence: a painfully funny ode to bad behavior .
Answer: 1"
324,"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1,"Sentence: you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .
Answer: 0"
325,"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image . ",1,"Sentence: liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .
Answer: 2"
326,a beguiling splash of pastel colors and prankish comedy from disney . ,1,"Sentence: a beguiling splash of pastel colors and prankish comedy from disney .
Answer: 1"
327,"it proves quite compelling as an intense , brooding character study . ",1,"Sentence: it proves quite compelling as an intense , brooding character study .
Answer: 1"
328,an unwise amalgam of broadcast news and vibes . ,0,"Sentence: an unwise amalgam of broadcast news and vibes .
Answer: 0"
329,"utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film . ",0,"Sentence: utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film .
Answer: 0"
330,and that leaves a hole in the center of the salton sea . ,0,"Sentence: and that leaves a hole in the center of the salton sea .
Answer: 0"
331,the chateau cleverly probes the cross-cultural differences between gauls and yanks . ,1,"Sentence: the chateau cleverly probes the cross-cultural differences between gauls and yanks .
Answer: 2"
332,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,1,"Sentence: broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .
Answer: 1"
333,"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ",1,"Sentence: a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .
Answer: 1"
334,"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure . ",1,"Sentence: what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .
Answer: 1"
335,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . ",0,"Sentence: with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here .
Answer: 0"
336,"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all . ",1,"Sentence: having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .
Answer: 1"
337,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,0,"Sentence: ... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .
Answer: 0"
338,"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",0,"Sentence: it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake .
Answer: 0"
339,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,1,"Sentence: if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .
Answer: 1"
340,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0,"Sentence: the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .
Answer: 0"
341,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,1,"Sentence: it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .
Answer: 1"
342,"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0,"Sentence: in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy .
Answer: 0"
343,no way i can believe this load of junk . ,0,"Sentence: no way i can believe this load of junk .
Answer: 0"
344,"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ",1,"Sentence: there is a fabric of complex ideas here , and feelings that profoundly deepen them .
Answer: 1"
345,"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . ",1,"Sentence: this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country .
Answer: 1"
346,"not only unfunny , but downright repellent . ",0,"Sentence: not only unfunny , but downright repellent .
Answer: 0"
347,"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . ",0,"Sentence: works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them .
Answer: 0"
348,just one bad idea after another . ,0,"Sentence: just one bad idea after another .
Answer: 0"
349,... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . ,0,"Sentence: ... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock .
Answer: 0"
350,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",0,"Sentence: his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .
Answer: 0"
351,"( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . ",1,"Sentence: ( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage .
Answer: 1"
352,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ",1,"Sentence: a swashbuckling tale of love , betrayal , revenge and above all , faith .
Answer: 1"
353,"for movie lovers as well as opera lovers , tosca is a real treat . ",1,"Sentence: for movie lovers as well as opera lovers , tosca is a real treat .
Answer: 1"
354,"the film is quiet , threatening and unforgettable . ",1,"Sentence: the film is quiet , threatening and unforgettable .
Answer: 1"
355,there is no pleasure in watching a child suffer . ,0,"Sentence: there is no pleasure in watching a child suffer .
Answer: 0"
356,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . ",0,"Sentence: jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .
Answer: 0"
357,stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,0,"Sentence: stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .
Answer: 0"
358,( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1,"Sentence: ( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .
Answer: 2"
359,"displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential . ",1,"Sentence: displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential .
Answer: 1"
360,` easily my choice for one of the year 's best films . ' ,1,"Sentence: `easily my choice for one of the year 's best films .`
Answer: 1"
361,"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction . ",0,"Sentence: a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .
Answer: 0"
362,"as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul . ",1,"Sentence: as a first-time director , paxton has tapped something in himself as an actor that provides frailty with its dark soul .
Answer: 1"
363,it 's a grab bag of genres that do n't add up to a whole lot of sense . ,0,"Sentence: it 's a grab bag of genres that do n't add up to a whole lot of sense .
Answer: 0"
364,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",0,"Sentence: instead of hiding pinocchio from critics , miramax should have hidden it from everyone .
Answer: 0"
365,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0,"Sentence: portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .
Answer: 0"
366,"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . ",1,"Sentence: altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .
Answer: 1"
367,there has always been something likable about the marquis de sade . ,1,"Sentence: there has always been something likable about the marquis de sade .
Answer: 1"
368,"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0,"Sentence: the humor is forced and heavy-handed , and occasionally simply unpleasant .
Answer: 0"
369,"without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality . ",1,"Sentence: without ever becoming didactic , director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .
Answer: 1"
370,"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show . ",0,"Sentence: partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show .
Answer: 0"
371,"for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions . ",1,"Sentence: for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .
Answer: 1"
