,text,label,pred
74,"A German teacher for much of her life, MacKeith also advocated for peace during the Aldermaston Marches in the 1950s and demonstrations against the Vietnam War in Grosvenor Square in the 1960s.","[{'German': 'LOCATION'}, {'MacKeith': 'PERSON'}, {'Aldermaston Marches': 'EVENT'}, {'Vietnam War': 'EVENT'}, {'Grosvenor Square': 'LOCATION'}]","[{""text"": ""Aldermaston Marches"", ""value"": ""EVENT""}, {""text"": ""Vietnam War"", ""value"": ""EVENT""}, {""text"": ""Grosvenor Square"", ""value"": ""LOCATION""}, {""text"": ""MacKeith"", ""value"": ""PERSON""}]"
75,Mediaite named her in a four-way tie among the ``Best TV Pundits`` of 2014 for bringing ``a comprehensive understanding to women's health and justice issues that goes beyond the usual talking points.'',"[{'Mediaite': 'PERSON'}, {'Best TV Pundits': 'OTHER'}]","[{""text"": ""Mediaite"", ""value"": ""ORGANIZATION""}, {""text"": ""Best TV Pundits"", ""value"": ""OTHER""}]"
76,"According to Steak' n Shake archives, the restaurant's founder, Gus Belt, applied for a trademark on the word in the 1930s.","[{""Steak' n Shake"": 'ART'}, {'Gus Belt': 'PERSON'}]","[{""text"": ""Steak' n Shake"", ""value"": ""ORGANIZATION""}, {""text"": ""Gus Belt"", ""value"": ""PERSON""}]"
77,Alex Salmond (leader of SNP) has since made history by becoming the first First Minister of Scotland from a party other than Labour.,"[{'Alex Salmond': 'PERSON'}, {'SNP': 'ORGANIZATION'}, {'Scotland': 'LOCATION'}, {'Labour': 'ORGANIZATION'}]","[{""text"": ""Alex Salmond"", ""value"": ""PERSON""}, {""text"": ""SNP"", ""value"": ""ORGANIZATION""}, {""text"": ""Scotland"", ""value"": ""LOCATION""}, {""text"": ""Labour"", ""value"": ""ORGANIZATION""}]"
78,"The album featured remixes of ``Like It or Not`` and ``Tearing Me Up`` from artists like A-Trak, RAC, Joris Voorn, and Tale of Us.","[{'Like It or Not': 'ART'}, {'Tearing Me Up': 'ART'}, {'A-Trak': 'PERSON'}, {'RAC': 'PERSON'}, {'Joris Voorn': 'PERSON'}, {'Tale of Us': 'PERSON'}]","[{""text"": ""A-Trak"", ""value"": ""PERSON""}, {""text"": ""RAC"", ""value"": ""PERSON""}, {""text"": ""Joris Voorn"", ""value"": ""PERSON""}, {""text"": ""Tale of Us"", ""value"": ""PERSON""}]"
79,``Patrick Morris`` sent out her own mayday call at 6:51 am and sank 35 minutes later.,[{'Patrick Morris': 'PRODUCT'}],"[{""text"": ""Patrick Morris"", ""value"": ""PERSON""}]"
80,The same effects have also been seen in short pubertal boys.,[],[]
81,"Construction was modular so that some of the gold could be removed and melted for coin or bullion in times of severe financial hardship, to be replaced later when finances had recovered.",[],[]
82,"He has also performed and worked with many other Scandinavian artists such as Bj\u00f8rn Eidsv\u00e5g, Silje Nergaard, Oslo Gospel Choir, Espen Lind, Elizabeth Norberg-Schulz and Carola H\u00e4ggkvist.","[{'Bj\\u00f8rn Eidsv\\u00e5g': 'PERSON'}, {'Silje Nergaard': 'PERSON'}, {'Oslo Gospel Choir': 'PERSON'}, {'Espen Lind': 'PERSON'}, {'Elizabeth Norberg-Schulz': 'PERSON'}, {'Carola H\\u00e4ggkvist': 'PERSON'}]","[{""text"": ""Bj\u00f8rn Eidsv\u00e5g"", ""value"": ""PERSON""}, {""text"": ""Silje Nergaard"", ""value"": ""PERSON""}, {""text"": ""Oslo Gospel Choir"", ""value"": ""ORGANIZATION""}, {""text"": ""Espen Lind"", ""value"": ""PERSON""}, {""text"": ""Elizabeth Norberg-Schulz"", ""value"": ""PERSON""}, {""text"": ""Carola H\u00e4ggkvist"", ""value"": ""PERSON""}]"
83,"Holy Trinity Church is a Church of England parish church at Bothenhampton, near Bridport in Dorset, England.","[{'Holy Trinity Church': 'ORGANIZATION'}, {'Church of England': 'ORGANIZATION'}, {'Bothenhampton': 'LOCATION'}, {'Bridport': 'LOCATION'}, {'Dorset': 'LOCATION'}, {'England': 'LOCATION'}]","[{""text"": ""Holy Trinity Church"", ""value"": ""BUILDING""}, {""text"": ""Church of England"", ""value"": ""ORGANIZATION""}, {""text"": ""Bothenhampton"", ""value"": ""LOCATION""}, {""text"": ""Bridport"", ""value"": ""LOCATION""}, {""text"": ""Dorset"", ""value"": ""LOCATION""}, {""text"": ""England"", ""value"": ""LOCATION""}]"
84,"Kadavu Province is one of fourteen provinces of Fiji, and forms part of the Eastern Division, which also includes the provinces of Lau, Lomaiviti and Rotuma.","[{'Kadavu Province': 'LOCATION'}, {'Fiji': 'LOCATION'}, {'Lau': 'LOCATION'}, {'Lomaiviti': 'LOCATION'}, {'Rotuma': 'LOCATION'}]","[{""text"": ""Kadavu Province"", ""value"": ""LOCATION""}, {""text"": ""Fiji"", ""value"": ""LOCATION""}, {""text"": ""Eastern Division"", ""value"": ""LOCATION""}, {""text"": ""Lau"", ""value"": ""LOCATION""}, {""text"": ""Lomaiviti"", ""value"": ""LOCATION""}, {""text"": ""Rotuma"", ""value"": ""LOCATION""}]"
85,"Mike Moreton headed the team, joining TWR to run the XJ220 project.","[{'Mike Moreton': 'PERSON'}, {'TWR': 'ORGANIZATION'}, {'XJ220': 'PRODUCT'}]","[{""text"": ""Mike Moreton"", ""value"": ""PERSON""}, {""text"": ""TWR"", ""value"": ""ORGANIZATION""}, {""text"": ""XJ220"", ""value"": ""PRODUCT""}]"
86,"Mary Weiss was one of the creators of The Real Live Brady Bunch at The Annoyance Theater, which led to a series of feature film remakes.","[{'Mary Weiss': 'PERSON'}, {'Real Live Brady Bunch': 'ORGANIZATION'}, {'Annoyance Theater': 'BUILDING'}]","[{""text"": ""Mary Weiss"", ""value"": ""PERSON""}, {""text"": ""The Real Live Brady Bunch"", ""value"": ""EVENT""}, {""text"": ""The Annoyance Theater"", ""value"": ""BUILDING""}]"
87,"More than 100 sellers from Deidesheim and the surrounding area run stalls, which must stylistically fit into the market's whole theme.",[{'Deidesheim': 'LOCATION'}],"[{""text"": ""Deidesheim"", ""value"": ""LOCATION""}]"
88,It won the jury award for best feature Film at the TriMedia Film Festival in 2010.,"[{'jury award for best feature Film': 'OTHER'}, {'TriMedia Film Festival': 'EVENT'}]","[{""text"": ""TriMedia Film Festival"", ""value"": ""EVENT""}]"
89,"Bitter Sweet & amp ; Twisted is rock band The Quireboys's second studio album, released in 1993.","[{'Bitter Sweet & amp': 'ART'}, {'Twisted': 'ART'}, {'The Quireboys': 'ORGANIZATION'}]","[{""text"": ""Bitter Sweet & Twisted"", ""value"": ""PRODUCT""}, {""text"": ""The Quireboys"", ""value"": ""ORGANIZATION""}]"
90,The Papacy in central Italy maintained major cultural and political influence during the Catholic Reformation initiated by the conclusion of the Tridentine council (resumed by the terms of the treaty).,"[{'Papacy': 'EVENT'}, {'Catholic Reformation': 'ORGANIZATION'}, {'Tridentine council': 'ORGANIZATION'}]","[{""text"": ""Papacy"", ""value"": ""ORGANIZATION""}, {""text"": ""Italy"", ""value"": ""LOCATION""}, {""text"": ""Catholic Reformation"", ""value"": ""EVENT""}, {""text"": ""Tridentine council"", ""value"": ""EVENT""}]"
91,Both doors are mirror images of each other and each contain the bronze University seal.,[{'bronze University seal': 'PRODUCT'}],"[{""text"": ""University"", ""value"": ""ORGANIZATION""}]"
92,"In some cases, black community groups resisted the attacks, especially in Chicago and Washington, D.C.","[{'Chicago': 'LOCATION'}, {'Washington, D.C': 'LOCATION'}]","[{""text"": ""Chicago"", ""value"": ""LOCATION""}, {""text"": ""Washington, D.C."", ""value"": ""LOCATION""}]"
93,"Six years later, both Richard and Lilli grow into strong and beautiful teenagers.","[{'Richard': 'PERSON'}, {'Lilli': 'PERSON'}]","[{""text"": ""Richard"", ""value"": ""PERSON""}, {""text"": ""Lilli"", ""value"": ""PERSON""}]"
94,The ability to sustain a lucrative business in bootlegging liquor was largely helped by the minimal police surveillance at the time.,[],[]
95,Another part of the RNA binds to the X-chromosome positioning PRC2 such that it can methylate various regions on the X-chromosome.,"[{'RNA': 'OTHER'}, {'X-chromosome': 'OTHER'}, {'PRC2': 'OTHER'}, {'X-chromosome': 'OTHER'}]",[]
96,Breck Ullr Fest was first held in 1963.,[{'Breck Ullr Fest': 'EVENT'}],"[{""text"": ""Breck Ullr Fest"", ""value"": ""EVENT""}]"
97,almost over 75 members of parliament join the alliance.,[],"[{""text"": ""alliance"", ""value"": ""ORGANIZATION""}]"
98,Malcolm III (; c.26 March 1031 \u2013 13 November 1093 (age 62)) was King of Scots from 1058 to 1093.,"[{'Malcolm III': 'PERSON'}, {'Scots': 'LOCATION'}]","[{""text"": ""Malcolm III"", ""value"": ""PERSON""}, {""text"": ""Scots"", ""value"": ""LOCATION""}]"
99,"Midway through the season, they traded Stacey King to the Minnesota Timberwolves for Luc Longley.","[{'Stacey King': 'PERSON'}, {'Minnesota Timberwolves': 'ORGANIZATION'}, {'Luc Longley': 'PERSON'}]","[{""text"": ""Stacey King"", ""value"": ""PERSON""}, {""text"": ""Minnesota Timberwolves"", ""value"": ""ORGANIZATION""}, {""text"": ""Luc Longley"", ""value"": ""PERSON""}]"
100,"The Germans then attacked again and penetrated C Company, but the tanks of the North Irish Horse stopped the Germans until dusk.","[{'Germans': 'LOCATION'}, {'C Company': 'ORGANIZATION'}, {'North Irish Horse': 'ORGANIZATION'}, {'Germans': 'LOCATION'}]","[{""text"": ""Germans"", ""value"": ""PERSON""}, {""text"": ""C Company"", ""value"": ""ORGANIZATION""}, {""text"": ""North Irish Horse"", ""value"": ""ORGANIZATION""}]"
101,He also appeared in and Raj Kanwar's action hit ``Jeet``.,"[{'Raj Kanwar': 'PERSON'}, {'Jeet': 'ART'}]","[{""text"": ""Raj Kanwar"", ""value"": ""PERSON""}, {""text"": ""Jeet"", ""value"": ""PRODUCT""}]"
102,Liz Weir won the inaugural International Story Bridge Award of the National Storytelling Network in 2002.,"[{'Liz Weir': 'PERSON'}, {'International Story Bridge Award': 'OTHER'}, {'National Storytelling Network': 'EVENT'}]","[{""text"": ""Liz Weir"", ""value"": ""PERSON""}, {""text"": ""International Story Bridge Award"", ""value"": ""EVENT""}, {""text"": ""National Storytelling Network"", ""value"": ""ORGANIZATION""}]"
103,"Less commonly, cases of hypersexuality have been reported.",[],[]
104,"The film is based on the French novel ``L'affaire Cl\u00e9menceau'', by Alexandre Dumas, fils, and is now considered to be lost.","[{'French': 'OTHER'}, {'Alexandre Dumas': 'PERSON'}]","[{""text"": ""L'affaire Cl\u00e9menceau"", ""value"": ""PRODUCT""}, {""text"": ""Alexandre Dumas, fils"", ""value"": ""PERSON""}]"
105,"After it was established by Yadunandan Sharma, at the instruction of Swami Sahajanand Saraswati in 1933, it saw a large number of freedom fighters visiting.","[{'Yadunandan Sharma': 'PERSON'}, {'Swami Sahajanand Saraswati': 'PERSON'}]","[{""text"": ""Yadunandan Sharma"", ""value"": ""PERSON""}, {""text"": ""Swami Sahajanand Saraswati"", ""value"": ""PERSON""}]"
106,"Even though these matrimonial ties existed between the Ula and Nurhaci, a war broke out in 1607 between Nurhaci and the Ula in which the latter were defeated with the loss of some towns.","[{'Ula': 'ORGANIZATION'}, {'Nurhaci': 'PERSON'}, {'Nurhaci': 'PERSON'}, {'Ula': 'ORGANIZATION'}]","[{""text"": ""Ula"", ""value"": ""ORGANIZATION""}, {""text"": ""Nurhaci"", ""value"": ""PERSON""}, {""text"": ""Ula"", ""value"": ""ORGANIZATION""}, {""text"": ""Nurhaci"", ""value"": ""PERSON""}]"
107,"On the formation of the Residential Property Tribunal Service as a result of the Housing Act 2004 the rent assessment committees became part of that body for administrative purposes, and is therefore now called the First Tier Tribunal (Property Chamber - Residential Property).","[{'Residential Property Tribunal Service': 'ORGANIZATION'}, {'Housing Act 2004': 'OTHER'}]","[{""text"": ""Residential Property Tribunal Service"", ""value"": ""ORGANIZATION""}, {""text"": ""Housing Act 2004"", ""value"": ""EVENT""}, {""text"": ""First Tier Tribunal"", ""value"": ""ORGANIZATION""}, {""text"": ""Property Chamber - Residential Property"", ""value"": ""ORGANIZATION""}]"
108,"The ridge is situated northeast of Mount Kliment Ohridski, extending in the north-south direction, wide, and is bounded by Poste Valley to the east, by Palestrina Glacier to the north and its tributary Yozola Glacier to the west.","[{'Mount Kliment Ohridski': 'LOCATION'}, {'Poste Valley': 'LOCATION'}, {'Palestrina Glacier': 'LOCATION'}, {'Yozola Glacier': 'LOCATION'}]","[{""text"": ""Mount Kliment Ohridski"", ""value"": ""LOCATION""}, {""text"": ""Poste Valley"", ""value"": ""LOCATION""}, {""text"": ""Palestrina Glacier"", ""value"": ""LOCATION""}, {""text"": ""Yozola Glacier"", ""value"": ""LOCATION""}]"
109,"After the end of the Civil War, Young was excluded from President Andrew Johns on's amnesty proclamation.","[{'Civil War': 'EVENT'}, {'Young': 'PERSON'}, {'Andrew Johns': 'PERSON'}]","[{""text"": ""Civil War"", ""value"": ""EVENT""}, {""text"": ""President Andrew Johns on"", ""value"": ""PERSON""}]"
110,"I, Max was a sports commentary show featuring host Max Kellerman and Michael Holley that aired nightly on Fox Sports Net.","[{'I, Max': 'ART'}, {'Max Kellerman': 'PERSON'}, {'Michael Holley': 'PERSON'}, {'Fox Sports Net': 'ORGANIZATION'}]","[{""text"": ""Max Kellerman"", ""value"": ""PERSON""}, {""text"": ""Michael Holley"", ""value"": ""PERSON""}, {""text"": ""Fox Sports Net"", ""value"": ""ORGANIZATION""}, {""text"": ""Max"", ""value"": ""PERSON""}, {""text"": ""I, Max"", ""value"": ""OTHER""}]"
111,Gibraltar suffered a number of air raids during 1940 by the Italian ``Regia Aeronautica`` (operating from Sardinia) and from the Vichy French Air Force (from French North Africa) in retaliation for British and Free French attacks on Mers-el-Kebir and Dakar.,"[{'Gibraltar': 'LOCATION'}, {'Regia Aeronautica': 'ORGANIZATION'}, {'Sardinia': 'LOCATION'}, {'Vichy French Air Force': 'ORGANIZATION'}, {'French North Africa': 'LOCATION'}, {'British': 'ORGANIZATION'}, {'Free French': 'ORGANIZATION'}, {'Mers-el-Kebir': 'LOCATION'}, {'Dakar': 'LOCATION'}]","[{""text"": ""Gibraltar"", ""value"": ""LOCATION""}, {""text"": ""Italian"", ""value"": ""OTHER""}, {""text"": ""Regia Aeronautica"", ""value"": ""ORGANIZATION""}, {""text"": ""Sardinia"", ""value"": ""LOCATION""}, {""text"": ""Vichy French Air Force"", ""value"": ""ORGANIZATION""}, {""text"": ""French North Africa"", ""value"": ""LOCATION""}, {""text"": ""British"", ""value"": ""OTHER""}, {""text"": ""Free French"", ""value"": ""OTHER""}, {""text"": ""Mers-el-Kebir"", ""value"": ""LOCATION""}, {""text"": ""Dakar"", ""value"": ""LOCATION""}]"
112,"The name ``Ganapatishvara``, which also gives the town its alternate name ``Ganapatishvaram``, denotes Shiva as ``Lord of Ganesha`` and alludes to the legend that Ganesha killed a demon and then worshipped his father Shiva here.","[{'Ganapatishvara': 'OTHER'}, {'Ganapatishvaram': 'OTHER'}, {'Shiva': 'OTHER'}, {'Lord of Ganesha': 'OTHER'}, {'Ganesha': 'OTHER'}, {'Shiva': 'OTHER'}]","[{""text"": ""Ganapatishvara"", ""value"": ""OTHER""}, {""text"": ""Ganapatishvaram"", ""value"": ""LOCATION""}, {""text"": ""Shiva"", ""value"": ""OTHER""}, {""text"": ""Ganesha"", ""value"": ""OTHER""}]"
113,"Divine Styler says: ``in the school I come from, freestyling was a non-conceptual written rhyme... and now they call freestyling off the top of the head, so the era I come from it's a lot different''.",[{'Divine Styler': 'PERSON'}],"[{""text"": ""Divine Styler"", ""value"": ""PERSON""}]"
114,"Shortly after World War I, he purchased a plot of land in Toulon and donated it to the local sports club, RC Toulonnais, for the building of a stadium.","[{'World War I': 'EVENT'}, {'Toulon': 'LOCATION'}, {'RC Toulonnais': 'ORGANIZATION'}]","[{""text"": ""World War I"", ""value"": ""EVENT""}, {""text"": ""Toulon"", ""value"": ""LOCATION""}, {""text"": ""RC Toulonnais"", ""value"": ""ORGANIZATION""}]"
115,"After the 1973 military coup, Ar\u00f3n was forced to go underground.",[{'Ar\\u00f3n': 'PERSON'}],"[{""text"": ""Ar\u00f3n"", ""value"": ""PERSON""}, {""text"": ""1973 military coup"", ""value"": ""EVENT""}]"
116,"As a longer loaf, it may well have been the origin of French bread as bakers there attempted to adopt the steam method to produce their baguettes.",[{'French': 'LOCATION'}],"[{""text"": ""French"", ""value"": ""LOCATION""}]"
117,"Eventually, however, the Saudi government and the FBI repeatedly conflicted during the course of the investigation.","[{'Saudi': 'ORGANIZATION'}, {'FBI': 'ORGANIZATION'}]","[{""text"": ""Saudi government"", ""value"": ""ORGANIZATION""}, {""text"": ""FBI"", ""value"": ""ORGANIZATION""}]"
118,It is an orthomyxovirus that contains the glycoproteins haemagglutinin and neuraminidase.,"[{'orthomyxovirus': 'OTHER'}, {'glycoproteins haemagglutinin': 'OTHER'}, {'neuraminidase': 'OTHER'}]",[]
119,"He died in an assisted living facility on election day, November 2, 2004, at the age of 92, survived by his widow and one brother.",[],"[{""text"": ""election day"", ""value"": ""EVENT""}, {""text"": ""November 2, 2004"", ""value"": ""EVENT""}]"
120,They were set to take on rival Oregon State in the quarterfinals of the Pac-12 Tournament.,"[{'Oregon State': 'ORGANIZATION'}, {'Pac-12 Tournament': 'EVENT'}]","[{""text"": ""Oregon State"", ""value"": ""ORGANIZATION""}, {""text"": ""Pac-12 Tournament"", ""value"": ""EVENT""}]"
121,"The airport is located south southeast of the Nhulunbuy town centre, on Melville Road.","[{'Nhulunbuy': 'LOCATION'}, {'Melville Road': 'LOCATION'}]","[{""text"": ""Nhulunbuy"", ""value"": ""LOCATION""}, {""text"": ""Melville Road"", ""value"": ""LOCATION""}]"
122,"To further expand its readership, ``The Philippine Star`` entered into a partnership with fast food restaurant Jollibee in 2003 to become the first newspaper to be distributed free of charge in a fast food restaurant.","[{'The Philippine Star': 'OTHER'}, {'Jollibee': 'BUILDING'}]","[{""text"": ""The Philippine Star"", ""value"": ""ORGANIZATION""}, {""text"": ""Jollibee"", ""value"": ""ORGANIZATION""}]"
123,Its headquarters are in Moscow.,[{'Moscow': 'LOCATION'}],"[{""text"": ""Moscow"", ""value"": ""LOCATION""}]"
124,They work independently of insulin and can reduce glucose levels without causing hypoglycemia or weight gain.,"[{'insulin': 'OTHER'}, {'hypoglycemia': 'OTHER'}]",[]
125,The channel has faced charges for spreading fake news and carrying out viewership manipulation on a number of occasions.,[],[]
126,Of the company's first direct signings The Rasmus managed to launch a successful international career with the release of their album Dead Letters (2003).,"[{'Rasmus': 'ORGANIZATION'}, {'Dead Letters': 'ART'}]","[{""text"": ""The Rasmus"", ""value"": ""ORGANIZATION""}, {""text"": ""Dead Letters"", ""value"": ""PRODUCT""}]"
127,The French credit rating agency Coface declared that the dramatic mining rescue would have a positive impact on Chile's economic reputation.,"[{'French': 'LOCATION'}, {'Coface': 'ORGANIZATION'}, {'Chile': 'LOCATION'}]","[{""text"": ""Coface"", ""value"": ""ORGANIZATION""}, {""text"": ""Chile"", ""value"": ""LOCATION""}, {""text"": ""French"", ""value"": ""LOCATION""}]"
128,The newest batch of contestants converged on New Orleans to meet with Tyler and receive a beignet cooking challenge right off the bat.,"[{'New Orleans': 'LOCATION'}, {'Tyler': 'PERSON'}]","[{""text"": ""New Orleans"", ""value"": ""LOCATION""}, {""text"": ""Tyler"", ""value"": ""PERSON""}]"
129,"Petit-de-Grat Island is a Canadian island off the coast of Cape Breton Island, in Richmond County, Nova Scotia.","[{'Petit-de-Grat Island': 'LOCATION'}, {'Canadian': 'LOCATION'}, {'Cape Breton Island': 'LOCATION'}, {'Richmond County': 'LOCATION'}, {'Nova Scotia': 'LOCATION'}]","[{""text"": ""Petit-de-Grat Island"", ""value"": ""LOCATION""}, {""text"": ""Canada"", ""value"": ""LOCATION""}, {""text"": ""Cape Breton Island"", ""value"": ""LOCATION""}, {""text"": ""Richmond County"", ""value"": ""LOCATION""}, {""text"": ""Nova Scotia"", ""value"": ""LOCATION""}]"
130,Police investigations revealed the shotgun used to perform the murders was the same weapon used earlier in a bungled attempt to blast open a bank door during a robbery at the State Bank in Oak Park seven months earlier.,"[{'State Bank': 'BUILDING'}, {'Oak Park': 'LOCATION'}]","[{""text"": ""State Bank"", ""value"": ""ORGANIZATION""}, {""text"": ""Oak Park"", ""value"": ""LOCATION""}]"
131,"For the 2019 Frieze Art Fair in London, Agostinelli staged his fourth intervention by depositing a 1 tonne block of translucent ice pulled by a Tesla to the entrance of the fair on opening day.","[{'Frieze Art Fair': 'EVENT'}, {'London': 'LOCATION'}, {'Agostinelli': 'PERSON'}, {'Tesla': 'ORGANIZATION'}]","[{""text"": ""2019 Frieze Art Fair"", ""value"": ""EVENT""}, {""text"": ""London"", ""value"": ""LOCATION""}, {""text"": ""Agostinelli"", ""value"": ""PERSON""}, {""text"": ""Tesla"", ""value"": ""ORGANIZATION""}]"
132,"He was appointed captain and took part in the naval part of the Siege of Port Hudson in May to July, 1863.",[{'Siege of Port Hudson': 'EVENT'}],"[{""text"": ""Siege of Port Hudson"", ""value"": ""EVENT""}, {""text"": ""May"", ""value"": ""OTHER""}, {""text"": ""July"", ""value"": ""OTHER""}, {""text"": ""1863"", ""value"": ""OTHER""}, {""text"": ""Port Hudson"", ""value"": ""LOCATION""}]"
133,"Sosa was not called to the World Cup 2010 team by then-manager Diego Maradona, but was reinstated by new coach Alejandro Sabella for the World Cup 2014 qualifiers, and has been featured in several games since 2011.","[{'Sosa': 'PERSON'}, {'World Cup': 'EVENT'}, {'Diego Maradona': 'PERSON'}, {'Alejandro Sabella': 'PERSON'}, {'World Cup': 'EVENT'}]","[{""text"": ""Sosa"", ""value"": ""PERSON""}, {""text"": ""World Cup 2010"", ""value"": ""EVENT""}, {""text"": ""Diego Maradona"", ""value"": ""PERSON""}, {""text"": ""Alejandro Sabella"", ""value"": ""PERSON""}, {""text"": ""World Cup 2014"", ""value"": ""EVENT""}]"
134,The HTC Prophet is a combined Personal Digital Assistant (PDA) and mobile telephone manufactured by HTC.,"[{'HTC Prophet': 'PRODUCT'}, {'Personal Digital Assistant (PDA)': 'PRODUCT'}, {'mobile telephone': 'PRODUCT'}, {'HTC': 'ORGANIZATION'}]","[{""text"": ""HTC Prophet"", ""value"": ""PRODUCT""}, {""text"": ""HTC"", ""value"": ""ORGANIZATION""}]"
135,"The scene is set at the Paris Las Vegas resort, where escaped Pteranodons land atop the resort's Eiffel Tower.","[{'Paris Las Vegas': 'LOCATION'}, {'Eiffel Tower': 'BUILDING'}]","[{""text"": ""Paris Las Vegas"", ""value"": ""LOCATION""}, {""text"": ""Eiffel Tower"", ""value"": ""BUILDING""}]"
136,"In 1863, he was the treasurer of the City of Denver and Arapahoe County.","[{'City of Denver': 'LOCATION'}, {'Arapahoe County': 'LOCATION'}]","[{""text"": ""City of Denver"", ""value"": ""LOCATION""}, {""text"": ""Arapahoe County"", ""value"": ""LOCATION""}]"
137,Greece fielded a four-strong table tennis team at the 2004 Olympic Games after being granted permission to use host nation qualification places.,"[{'Greece': 'LOCATION'}, {'2004 Olympic Games': 'EVENT'}]","[{""text"": ""Greece"", ""value"": ""LOCATION""}, {""text"": ""2004 Olympic Games"", ""value"": ""EVENT""}]"
138,In 2019 he got a ``cum laude'' PhD at Politecnico di Milano with the thesis:`` Hybrid Modular Architecture: a strategic framework of building innovation for emerging housing behaviors in urban contexts `.,"[{'PhD': 'OTHER'}, {'Politecnico di Milano': 'ORGANIZATION'}, {'Hybrid Modular Architecture: a strategic framework of building innovation for emerging housing behaviors in urban contexts': 'ART'}]","[{""text"": ""Politecnico di Milano"", ""value"": ""ORGANIZATION""}]"
139,Both versions of the band continued touring and recording new music concurrently.,[],[]
140,"From 1927 to 1944, he was on the books of the All-Union Communist Party (Bolsheviks), later known as the Communist Party of the Soviet Union.","[{'All-Union Communist Party': 'ORGANIZATION'}, {'Bolsheviks': 'ORGANIZATION'}, {'Communist Party of the Soviet Union': 'ORGANIZATION'}]","[{""text"": ""All-Union Communist Party (Bolsheviks)"", ""value"": ""ORGANIZATION""}, {""text"": ""Communist Party of the Soviet Union"", ""value"": ""ORGANIZATION""}]"
141,"In July 1944, the 503rd jumped again, onto Noemfoor Island, off Dutch New Guinea, in the Battle of Noemfoor.","[{'Noemfoor Island': 'LOCATION'}, {'Dutch New Guinea': 'LOCATION'}, {'Battle of Noemfoor': 'EVENT'}]","[{""text"": ""Noemfoor Island"", ""value"": ""LOCATION""}, {""text"": ""Dutch New Guinea"", ""value"": ""LOCATION""}, {""text"": ""Battle of Noemfoor"", ""value"": ""EVENT""}, {""text"": ""503rd"", ""value"": ""ORGANIZATION""}]"
142,DMUs in Taiwan are classified as Class DR.,"[{'DMUs': 'PRODUCT'}, {'Taiwan': 'LOCATION'}]","[{""text"": ""Taiwan"", ""value"": ""LOCATION""}]"
143,Saunders lost to Fitch by unanimous decision.,"[{'Saunders': 'PERSON'}, {'Fitch': 'PERSON'}]","[{""text"": ""Saunders"", ""value"": ""PERSON""}, {""text"": ""Fitch"", ""value"": ""PERSON""}]"
144,"The basis of the column is orientated northwest/southeast, while its capital is aligned north/south, possibly so that the statue could look towards the nearby Church of the Holy Apostles.",[{'Church of the Holy Apostles': 'BUILDING'}],"[{""text"": ""Church of the Holy Apostles"", ""value"": ""BUILDING""}]"
145,"It was previously used by Route 410 to Rehovot, and was known as the Jumping Bridge due to a bump in the middle of the bridge which caused cars to jump if speeding.","[{'Route 410': 'LOCATION'}, {'Rehovot': 'LOCATION'}, {'Jumping Bridge': 'BUILDING'}]","[{""text"": ""Route 410"", ""value"": ""LOCATION""}, {""text"": ""Rehovot"", ""value"": ""LOCATION""}, {""text"": ""Jumping Bridge"", ""value"": ""LOCATION""}]"
146,"On January 11, 2018 it was announced that Trout would make a ring return against Colombia n boxer Juan De Angel on the Devon Alexander vs. Victor Ortiz undercard on February 17 at the Don Haskins Center on the UTEP campus in El Paso, Texas.","[{'Trout': 'ORGANIZATION'}, {'Colombia': 'LOCATION'}, {'Juan De Angel': 'PERSON'}, {'Devon Alexander': 'ORGANIZATION'}, {'Victor Ortiz': 'ORGANIZATION'}, {'Don Haskins Center': 'BUILDING'}, {'UTEP': 'ORGANIZATION'}, {'El Paso': 'LOCATION'}, {'Texas': 'LOCATION'}]","[{""text"": ""January 11, 2018"", ""value"": ""EVENT""}, {""text"": ""Trout"", ""value"": ""PERSON""}, {""text"": ""Colombia"", ""value"": ""LOCATION""}, {""text"": ""Juan De Angel"", ""value"": ""PERSON""}, {""text"": ""Devon Alexander"", ""value"": ""PERSON""}, {""text"": ""Victor Ortiz"", ""value"": ""PERSON""}, {""text"": ""February 17"", ""value"": ""EVENT""}, {""text"": ""Don Haskins Center"", ""value"": ""BUILDING""}, {""text"": ""UTEP"", ""value"": ""ORGANIZATION""}, {""text"": ""El Paso"", ""value"": ""LOCATION""}, {""text"": ""Texas"", ""value"": ""LOCATION""}]"
147,"Xiongnu had been incessantly attacking the Xiyu (central Asia) kingdom of Wusun, whose queen was the Han princess Liu Jieyou).","[{'Xiongnu': 'LOCATION'}, {'Xiyu': 'LOCATION'}, {'Asia': 'LOCATION'}, {'Wusun': 'LOCATION'}, {'Han': 'LOCATION'}, {'Liu Jieyou': 'PERSON'}]","[{""text"": ""Xiongnu"", ""value"": ""ORGANIZATION""}, {""text"": ""Xiyu"", ""value"": ""LOCATION""}, {""text"": ""Wusun"", ""value"": ""ORGANIZATION""}, {""text"": ""Liu Jieyou"", ""value"": ""PERSON""}, {""text"": ""Han"", ""value"": ""ORGANIZATION""}, {""text"": ""Asia"", ""value"": ""LOCATION""}]"
